dates,close,index,evt
2/19/2002,2.155,11517.3,0
2/20/2002,1.982,11091.9,0
2/21/2002,1.932,11165.8,0
2/22/2002,1.932,11165.8,0
2/25/2002,1.932,11165.8,0
2/26/2002,1.932,10931.8,0
2/27/2002,1.858,11186.8,0
2/28/2002,1.61,10849.9,0
3/1/2002,1.66,11470.9,0
3/4/2002,1.585,11665.3,0
3/5/2002,1.536,11418.6,0
3/6/2002,1.635,11346.7,0
3/7/2002,1.684,11621.2,0
3/8/2002,1.759,11704.9,0
3/11/2002,1.61,11336.3,0
3/12/2002,1.486,10842.1,0
3/13/2002,1.387,10594,0
3/14/2002,1.387,10614.3,0
3/15/2002,1.486,10771.9,0
3/18/2002,1.585,10604.9,0
3/19/2002,1.561,10643.7,0
3/20/2002,1.511,10776.3,0
3/21/2002,1.486,11471.1,0
3/22/2002,1.536,11791.6,0
3/25/2002,1.536,12016.5,0
3/26/2002,1.486,11639.3,0
3/27/2002,1.511,11862.6,0
3/28/2002,1.536,11808.7,0
3/29/2002,1.486,11679.4,0
4/1/2002,1.511,11621.5,0
4/2/2002,1.511,11827.2,0
4/3/2002,1.412,11276.9,0
4/4/2002,1.412,11796.1,0
4/5/2002,1.437,11863.5,0
4/8/2002,1.412,11455.9,0
4/9/2002,1.412,11720.2,0
4/10/2002,1.362,12030.9,0
4/11/2002,1.338,12257.3,0
4/12/2002,1.387,12240.2,0
4/15/2002,1.412,12605.9,0
4/16/2002,1.338,12220.3,0
4/17/2002,1.387,12263.3,0
4/18/2002,1.362,12010.1,0
4/19/2002,1.362,11970.9,0
4/22/2002,1.387,11759.7,0
4/23/2002,1.387,11759.7,0
4/24/2002,1.362,11775.1,0
4/25/2002,1.362,11800.5,0
4/26/2002,1.412,12041.2,0
4/29/2002,1.362,11657.3,0
4/30/2002,1.387,11441.5,0
5/1/2002,1.486,11479.7,0
5/2/2002,1.461,11321.9,0
5/3/2002,1.461,11469,0
5/6/2002,1.486,11447.3,0
5/7/2002,1.461,11655.4,0
5/8/2002,1.461,12117.2,0
5/9/2002,1.412,11914.7,0
5/10/2002,1.412,11638.9,0
5/13/2002,1.412,11669.2,0
5/14/2002,1.437,11613.9,0
5/15/2002,1.412,11402.2,0
5/16/2002,1.362,11219,0
5/17/2002,1.313,10609.9,0
5/20/2002,1.338,10761.7,0
5/21/2002,1.362,10895.7,0
5/22/2002,1.338,10603.2,0
5/23/2002,1.511,10774.2,0
5/24/2002,1.437,10894.3,0
5/27/2002,1.486,11199,0
5/28/2002,1.461,10934.7,0
5/29/2002,1.461,10806.5,0
5/30/2002,1.362,10508.1,0
5/31/2002,1.338,10413.7,0
6/3/2002,1.338,10316.9,0
6/4/2002,1.362,10387,0
6/5/2002,1.387,10383.4,0
6/6/2002,1.387,10488.2,0
6/7/2002,1.387,10151,0
6/10/2002,1.412,9866.48,0
6/11/2002,1.412,9721.38,0
6/12/2002,1.461,9704.09,0
6/13/2002,1.511,9774.39,0
6/14/2002,1.486,9464.52,0
6/17/2002,1.536,9230.7,0
6/18/2002,1.585,9575.19,0
6/19/2002,1.486,9378.43,0
6/20/2002,1.437,9179.35,0
6/21/2002,1.437,9220.48,0
6/24/2002,1.412,8984.58,0
6/25/2002,1.412,9094.77,0
6/26/2002,1.288,8627.42,0
6/27/2002,1.362,9009.19,0
6/28/2002,1.338,9379.92,0
7/1/2002,1.313,9564.99,0
7/2/2002,1.288,9134.97,0
7/3/2002,1.288,9008.37,0
7/4/2002,1.362,9059.96,0
7/5/2002,1.412,9351.16,0
7/8/2002,1.387,8912.16,0
7/9/2002,1.338,8747.92,0
7/10/2002,1.338,8916.46,0
7/11/2002,1.338,8990.2,0
7/12/2002,1.338,9499.41,0
7/15/2002,1.288,9396.68,0
7/16/2002,1.412,9555.65,0
7/17/2002,1.511,10523.7,0
7/18/2002,1.561,10552.3,0
7/19/2002,1.536,10473,0
7/22/2002,1.585,10116.5,0
7/23/2002,1.61,10133.5,0
7/24/2002,1.437,9714.96,0
7/25/2002,1.461,9753.83,0
7/26/2002,1.561,10069.1,0
7/29/2002,1.511,10179.8,0
7/30/2002,1.486,10344.2,0
7/31/2002,1.461,10236.5,0
8/1/2002,1.461,10582,0
8/2/2002,1.486,10781.6,0
8/5/2002,1.486,10639.5,0
8/6/2002,1.536,10599.4,0
8/7/2002,1.486,10522.7,0
8/8/2002,1.486,10595.2,0
8/9/2002,1.461,10415.6,0
8/12/2002,1.461,10188.6,0
8/13/2002,1.461,10251.7,0
8/14/2002,1.585,10038.5,0
8/15/2002,1.561,9674.78,0
8/16/2002,1.66,9921.76,0
8/19/2002,1.61,9829.57,0
8/20/2002,1.61,9662.57,0
8/21/2002,1.61,9630.5,0
8/22/2002,1.585,9463.61,0
8/23/2002,1.61,9349.84,0
8/26/2002,1.61,9364.93,0
8/27/2002,1.585,9277.27,0
8/28/2002,1.115,9394.61,0
8/29/2002,1.09,9547.3,0
8/30/2002,1.09,9547.3,0
9/2/2002,1.078,9388.86,0
9/3/2002,1.077,9307,0
9/4/2002,1.065,9469.79,0
9/5/2002,1.053,9399.87,0
9/6/2002,1.065,9653.31,0
9/9/2002,1.04,9399.38,0
9/10/2002,0.991,9008.26,0
9/11/2002,0.991,9268.47,0
9/12/2002,0.978,9234.25,0
9/13/2002,0.966,9249.21,0
9/16/2002,0.966,9093.33,0
9/17/2002,0.978,9224.54,0
9/18/2002,0.978,9257.54,0
9/19/2002,0.978,9263.78,0
9/20/2002,0.966,9325.12,0
9/23/2002,0.966,9282.25,0
9/24/2002,0.991,9072.02,0
9/25/2002,0.941,9119.21,0
9/26/2002,0.916,8945.3,0
9/27/2002,0.892,8878.09,0
9/30/2002,0.879,8842.24,0
10/1/2002,0.929,9057.45,0
10/2/2002,0.879,9001.18,0
10/3/2002,0.879,8893.67,0
10/4/2002,0.855,8932.58,0
10/7/2002,0.842,8912.54,0
10/8/2002,0.83,8809.12,0
10/9/2002,0.842,9145.58,0
10/10/2002,0.855,9320.08,0
10/11/2002,0.867,9307.04,0
10/14/2002,0.83,9029.59,0
10/15/2002,0.83,9291,0
10/16/2002,0.83,9189.7,0
10/17/2002,0.842,9698.98,0
10/18/2002,0.842,9903.86,0
10/21/2002,0.867,9997.49,0
10/22/2002,0.879,10137.3,0
10/23/2002,0.904,9943.62,0
10/24/2002,0.892,10384.2,0
10/25/2002,0.867,10411.8,0
10/28/2002,0.879,10437.8,0
10/29/2002,0.879,10437.8,0
10/30/2002,0.83,10138.5,0
10/31/2002,0.842,10251.9,0
11/1/2002,0.855,10217.1,0
11/4/2002,0.855,10844.4,0
11/5/2002,0.879,11947.3,0
11/6/2002,0.904,11973.4,0
11/7/2002,0.954,13472.2,0
11/8/2002,0.904,13221.8,0
